video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,video_error_or_removed,description,location
afAnbxy6dxs,,Der giftigste Ort der Welt,Simplicissimus,24,2024-04-21T11:00:04Z,"Simplicissimus,2 Bored Guys",753073,49724,0,2758,https://i.ytimg.com/vi/afAnbxy6dxs/default.jpg,False,,"Checkt Naturstrom ab und erhaltet mit dem Code ""2404"" exklusive 30€ Guthaben beim Abschluss. Für alle unter 27 Jahren gibt es aktuell besonders günstige Tarife: https://simpli.deals/naturstrom (Werbung)

Checkt WEtell für noch mehr Nachhaltigkeit in eurem Alltag ab. Mit dem Code ""Simpli"" erhältst du 25€ Startguthaben oder WEtell investiert für dich 40€ in Solarenergie: https://simpli.deals/wetell (Werbung)

Der womöglich giftigste Ort der Welt liegt mitten in Deutschland... 

Vielen Dank an Marcos Buser und Thomas Norgall für die wertvollen Einsichten. 

Danke auch an unsere Patrons x3
https://www.patreon.com/simplicissimus 

Simpli auf Instagram: https://www.instagram.com/simplicissimusyt
@simplicissimusyt

Simpli auf TikTok: https://www.tiktok.com/@simplicissimus
@simplicissimus

Simpli auf Twitter: https://twitter.com/simpliYT
@simpliYT

0:00 Intro
3:50 Der Side Hustle
13:50 Das Kerngeschäft
21:50 Der Masterplan
30:40 Eigene Meinung

________

Quellen: 

https://docs.google.com/document/d/1wvEN5goF9HCMJWaoO6rKQKMJsuQcEnJK1XbjQkkHeOE/edit?usp=sharing

Musik: 

Eigenkomposition für diesen Film:
Marcel Becker-Neu

___

Schön, verständlich, kritisch und fundiert. Wir machen Essays zu Fragen, die du dir noch nie, oder viel zu oft gestellt hast.",DE
lPuGVHsTMn0,,FIGHT HIGHLIGHTS | DEVIN HANEY VS. RYAN GARCIA,DAZN Boxing,17,2024-04-21T08:08:55Z,"dazn,boxing,highlights,full fight,ko,knockout,top 10,The DAZN Boxing Show,Pelea,Boxeo,Pugile,dazn boxing",6481671,120406,0,19654,https://i.ytimg.com/vi/lPuGVHsTMn0/default.jpg,False,,"April 20, 2024 -- Devin Haney vs. Ryan Garcia Fight Highlights from New York City, New York. Presented by @AutoZone 

Subscribe to our YouTube channel 👉  http://bit.ly/DAZNBoxingYouTube
Subscribe to the DAZN X Series YouTube channel 👉 https://bit.ly/XSeriesYouTube 

Download the DAZN app now 👉  http://bit.ly/DAZNYoutube

Follow DAZN Boxing On Social Media 👇
Twitter: https://www.twitter.com/DAZNBoxing
Instagram: https://www.instagram.com/DAZNBoxing
Facebook: https://www.facebook.com/DAZN

The DAZN Boxing Show ► https://bit.ly/3EQ70HN
DAZN Rewind ► https://bit.ly/32iAaRT

#haneygarcia #DAZN #DAZNBoxing #Boxing",DE
oUW1RPbbqJE,,BRAWLER MUTATIONS WILL BREAK THE GAME! - Brawl Talk,Brawl Stars,20,2024-04-20T15:00:07Z,"brawl stars,mobile game,mobile rpg,battle royale,supercell,game,mutations,brawl talk,egg,marzio,drew,dani,draco,lily",17001680,836522,0,61677,https://i.ytimg.com/vi/oUW1RPbbqJE/default.jpg,False,,"Brawl Talk is here! And remember to JOIN A CLUB!
FREE EGG PIN: https://link.brawlstars.com/?action=voucher&code=cc017c48-b904-448d-9fe1-dd494e28bfd2

#brawlstars #brawltalk #mutations 

Download NOW!! ►► https://supr.cl/2K62CZG
Subscribe!! ►► https://supr.cl/subscribe",DE
l-nMKJ5J3Uc,,"Ages 1 - 100 Decide Who Wins $250,000",MrBeast,24,2024-04-20T15:59:59Z,,52364765,2839749,0,135315,https://i.ytimg.com/vi/l-nMKJ5J3Uc/default.jpg,False,,"I can’t believe who they picked
Thanks Top Troops for sponsoring this video. Download Top Troops at https://toptroops.onelink.me/JHnC/mrbeast or scan the QR code to get a FREE special Starter Pack for a limited time

Thanks Samsung for the Tab S9s - the Galaxy AI features are cool too: https://smsng.us/MrBTabS9

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Also thank you Concept Pixel for the LED Walls,it looked great!
 www.conceptpixels.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",DE
rmfhRPAOcnA,,Gen-Z Dating Tipps auf TikTok helfen ALLEN,Renzo,24,2024-04-21T10:01:00Z,"Rezo Stream,Rezo Highlight,Rezo best of,livestream highlights,rezo,renzo,Rezo reagiert,TikTok,Dating,Tipps",184987,22729,0,801,https://i.ytimg.com/vi/rmfhRPAOcnA/default.jpg,False,,"Werbung:
► SP/RK SHOP mit nicem Restock!: https://sprk.store/

► Bis zu 33% Rabatt auf nice Displates:
https://displate.com/rezo_?art=6193c7ff8385e

► PODCAST von Ju und Rezo: https://open.spotify.com/show/6UUIXmp1V0fK4ZpK7vzAbQ

► FOLGT MIR
Twitch: https://www.twitch.tv/rezo
Tik Tok: Rezo
Instagram: http://instagram.com/rezo​
Twitter: https://twitter.com/rezomusik
Anderer Kanal: https://www.youtube.com/@Schlumpf",DE
WXTwJyslSQk,,Das unnötigste Gadget in 2024: Die Alexa Kaffeemaschine,AlexiBexi,24,2024-04-21T10:30:14Z,,169873,8682,0,403,https://i.ytimg.com/vi/WXTwJyslSQk/default.jpg,False,,"Alexa wird jetzt auch dazu genötigt schrottig verbaut zu werden... na toll.
► Gönnt euch Displates bis 33% günstiger*: https://displate.com/alexibexi?art=61dfec9f38d92 oder Code ""ALEXIBEXI""


► TikTok: https://www.tiktok.com/@alexibexi
► Instagram: http://instagram.com/alexibexi
► Twitter: http://twitter.com/alextv

► Packstation:
Alex Böhm
PostNummer: 817904289
Packstation 147
21629 Neu Wulmstorf

► Abonnieren und Glocke nicht vergessen!

Inhalt & Schnitt: Alex
Kamera: Stativ & Alex

// Transparenz: Dieses Video beinhaltet eine Produktplatzierung/Werbung von Displate. //
// *Tracking-Link: Euch entstehen keine Kosten oder Nachteile. Kauf über diesen Link/mit diesem Code erwirtschaftet für den Creator keine Provision; dieser Link trackt das Zielgruppeninteresse an einer Thematik/an Produkten (und dem entsprechenden Kaufinteresse). //",DE
ObR-gr2xRiY,,Später Siegtreffer! ManCity erreicht Finale dank Silva: Man City - FC Chelsea | FA Cup | DAZN,DAZN FA Cup & Carabao Cup,17,2024-04-20T18:55:35Z,"Bernardo Silva,Silva,Manchester City,ManCity,MNC,Chelsea,CHE,Manchester City Chelsea,Manchester City vs Chelsea,Manchester City - Chelsea,ManCity vs,ManCity -,Manchester City Chelsea 1 0,Manchester City vs Chelsea 1-0,Manchester City - Chelsea 1:0,FA Cup,FA Cup Highlights,FA Cup DAZN,DAZN FA Cup,DAZN,Highlights FA Cup,DAZN Highlights,DAZN Highlights FA Cup,FA Cup Highlights DAZN,DAZN Fußball International",457925,7407,0,323,https://i.ytimg.com/vi/ObR-gr2xRiY/default.jpg,False,,"Im Halbfinale des FA Cup trifft Manchester City auf Chelsea.

Spielverlauf:
1:0 B. Silva (84.)

+++ Über diesen Link registrieren und DAZN kostenlos nutzen: https://bit.ly/FreeRegistrationDAZN +++

►Hier geht's zu DAZN: http://bit.ly/DAZNerleben
►Alle Infos zur UEFA Champions League: https://www.dazn.com/de-DE/news/fu%C3%9Fball/champions-league-infos-uebertragung-viertelfinales-streamingdienst-tv-live-stream/shvqnfd4rp9s15yerpttt21u1
►Das Programm von DAZN: https://www.dazn.com/de-DE/schedule
►DAZN auch auf Facebook: https://bit.ly/2lUGipo

+++ Die besten Highlights aus allen Wettbewerben auf YouTube +++
►DAZN UEFA Champions League auf YouTube abonnieren: https://bit.ly/2WL75qD
►DAZN Fußball International auf YouTube abonnieren: https://bit.ly/3ChnLKi 
►DAZN FA & Carabao Cup auf YouTube abonnieren: https://bit.ly/3C9dhg0
►DAZN Länderspiele auf YouTube abonnieren: https://bit.ly/2XAYNSd
►DAZN Darts auf YouTube abonnieren: https://bit.ly/2ScVbqU   

Erlebe tausende Sportevents in HD-Qualität auf allen Geräten. Auf DAZN gibt's europäischen Top-Fußball mit UEFA Champions League, Bundesliga, LaLiga, der Serie A und Ligue 1 sowie den besten US-Sport aus NFL und NBA. Dazu: Fight Sports, Darts, Golf und vieles mehr - wann und wo du willst.
 
ERLEBE DEINEN SPORT LIVE UND AUF ABRUF. AUF ALLEN GERÄTEN.
 
+++ Über DAZN +++
 
DAZN ist ein Livesport-Streamingdienst, der es Fans erlaubt, Sport so zu erleben, wie sie es möchten. Egal ob live zu Hause, unterwegs, zeitversetzt oder im Rückblick, DAZN bietet über 8.000 Sportübertragungen pro Jahr und beinhaltet damit das umfangreichste Sportangebot, das es jemals bei einem einzelnen Anbieter gegeben hat.
 
Impressum:
http://media.dazn.com/en/impressum",DE
ARisoN2g8JQ,,DEVIN HANEY VS. RYAN GARCIA FULL CARD HIGHLIGHTS,DAZN Boxing,17,2024-04-21T06:42:04Z,"dazn,boxing,highlights,full fight,ko,knockout,top 10,The DAZN Boxing Show,Pelea,Boxeo,Pugile,dazn boxing",1782107,18941,0,2941,https://i.ytimg.com/vi/ARisoN2g8JQ/default.jpg,False,,"April 20, 2024 -- Devin Haney vs. Ryan Garcia Full Card Highlights presented by @AutoZone.

Subscribe to our YouTube channel 👉  http://bit.ly/DAZNBoxingYouTube
Subscribe to the DAZN X Series YouTube channel 👉 https://bit.ly/XSeriesYouTube 

Download the DAZN app now 👉  http://bit.ly/DAZNYoutube

Follow DAZN Boxing On Social Media 👇
Twitter: https://www.twitter.com/DAZNBoxing
Instagram: https://www.instagram.com/DAZNBoxing
Facebook: https://www.facebook.com/DAZN

The DAZN Boxing Show ► https://bit.ly/3EQ70HN
DAZN Rewind ► https://bit.ly/32iAaRT

#DAZN #DAZNBoxing #Boxing #haneygarcia",DE
q3zqJs7JUCQ,,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),Taylor Swift,10,2024-04-20T00:00:06Z,"Taylor swift,taylor,swift,taylor swift ttpd,tortured poets department,new taylor swift,taylor swift album,ts ttpd,ttpd anthology,taylor swift fortnight,fortnite taylor swift,taylor swift",26013938,1218199,0,63746,https://i.ytimg.com/vi/q3zqJs7JUCQ/default.jpg,False,,"The official music video for “Fortnight (feat. Post Malone)” by Taylor Swift, from ‘THE TORTURED POETS DEPARTMENT’.

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

Join the #ForAFortnightChallenge on YouTube Shorts. Share 14 snippets of your life in one single Short with “Fortnight (feat Post Malone)” by using remix or adding the official sound.

https://yt.be/ForAFortnightChallenge

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store 
►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

Director: Taylor Swift
Director of Photography: Rodrigo Prieto 
Producer: Jil Hardin 
Editor: Chancler Haynes 
Production Designer: Ethan Tobman 
1st AD: Anthony Dimino 
Visual Effects: Parliament
Production Companies: Taylor Swift Productions & Object & Animal

#taylorswift #postmalone #fortnight #thetorturedpoetsdepartment",DE
2qGah14cNZ4,,"""BURGERPOMMES DISSTRACK"" - CLASHGAMES feat. Kleiner Bruder Max (Official Music Video)",ClashGames,24,2024-04-20T08:00:08Z,"clashgames,clash games,clashgames brawl stars,eierkopf,clashgames burgerpomes disstrack,burgerpommes disstrack,clashgames lukas disstrack,clashgames disstrack,clashgames macht neuen disstrack,clashgames song,burger pommes disstrack,burgerpomess song disstrack,clashgames burgerpommes song disstrack,clashgames lukas disstrack neu,clashgames neuer song,burgerpommes song,burger pommes disstrack song,lukas brawl stars disstrack,clashgames burgerpommes disstrack song",436824,19725,0,3373,https://i.ytimg.com/vi/2qGah14cNZ4/default.jpg,False,,"►Streame den Song jetzt überall: https://li.sten.to/burgerpomessdiss
►Spotify: https://open.spotify.com/intl-de/track/1j5nAnRbQLBG2zrgeGnCii?si=efcf25b201ef4fa8 

""""BURGERPOMMES DISSTRACK"" - CLASHGAMES feat. Kleiner Bruder Max (Official Music Video)""

Songwriting: PASH & George Yang
Mix & Mastering: Jomz
Beat: CHEK Beatz x Major & PASH
Prod. by PASH, George Yang & xzudemx
https://www.instagram.com/pash_61
https://www.instagram.com/georgeyvng
https://www.instagram.com/xzudemx
https://www.instagram.com/jomz808/
https://www.youtube.com/@chekbeatz8765

Ebenfalls Kuss an Ali, der mit uns das Musikvideo gedreht hat & babamäßig geschnitten hat:
►https://www.instagram.com/airokun/

Danke an den Candypalace und McDonalds Stuhr, dass wir bei euch drehen durften! 😊
Candy Palace: https://www.tiktok.com/@candyxpalace
https://candypalace.de/
https://www.tiktok.com/@candyxpalace
https://www.instagram.com/candyxpalace/?hl=de
►Route: https://maps.app.goo.gl/r592F5j7kjYSZHUdA
McDonalds Stuhr: https://www.mcdonalds.com/de/de-de.html
►Route: https://maps.app.goo.gl/TaPpbKs1HxHq3dcDA

Songtext:
[REFRAIN]
Kein Mensch disst den Eierkopf
Das hier habt ihr euch eingebrockt
Jetzt löffelt’s aus!

Ihr wisst, ich bin der beste jetzt
In Brawl Stars und im Rapgeschäft
Ich fress euch auf

Wie Nuggets und Curlyfries
Pack - du Pommes in dein Burger rein
Ich krieg von deinen Songs einen Würgereiz
Nur die Coolen essen Nuggets und Curlyfries

[VERSE I]
Ich glaube, ihr habt bisschen zu viel Burgerpommes genascht
Eine Frage: wie viel Geld hat euch McDonalds bezahlt?
Curly wusste nicht mehr ganz, was er noch schreiben soll
Also macht ihr ne Kopie von meinem Song - das weiß ich doch

Lukas du machst alles was ich mache, doch du machst es nicht besser
Bin hier der krasseste Rapper, du bringst nur Kacke von gestern 
Und was du machst hat kein Geschmack, da nützt kein Salz oder Pfeffer
Ich kann euch alle drei wie Takis zerschmettern, ich mache [crunsh]

Und hör mal her, du kleiner Schmackofatz
Wenn ich dich disse, nimmt die Anzahl deiner Abos ab
Deine Fans werfen deine Shirts auf den Wäschehaufen
Denn sie wollen lieber meinen Merch auf der Website kaufen

iCrimax gibt dir Klicks auf seinen Nacken
Der macht nur mit um seine Limo zu vermarkten
Und ich hab die getestet
Ich sag euch ehrlich, kommt mal näher
Ich find die lecker, ich bestell mir davon mehr

[REFRAIN]
Kein Mensch disst den Eierkopf
Das hier habt ihr euch eingebrockt
Jetzt löffelt’s aus!

Ihr wisst, ich bin der beste jetzt
In Brawl Stars und im Rapgeschäft
Ich fress euch auf

Wie Nuggets und Curlyfries
Pack - du Pommes in dein Burger rein
Ich krieg von deinen Songs einen Würgereiz
Nur die Coolen essen Nuggets und Curlyfries

[VERSE II]
Hol mir alle Kiddies ran, ich bin viel cooler als die
Du könntest niemals meinen Bruder besiegen
Ich würde lieber nie mehr rappen wollen an deiner Stelle 
Denn alle haten deine Lieder
Lukas, mach keine Welle

Du hast zwei Jahre für ein Disstrack gebraucht
Und kommst mit Crimax, weil alleine hast du dich nicht getraut
Ich mache Scheiße zu Gold und du machst einfach nur Scheiße
Zeile für Zeile gleiche Leier und nur peinliche Reime

Yo ihr seid brothers in crime,
Ihr klaut mir Takis & Prime
Ich komm mit Nuggets und Fries
Und morgen klaut ihr das auch

Yo, warum raubt ihr mich aus?
Die Credits tauchen nicht auf
Du machst dich laufend zum Clown
So kriegst du auch kein Applaus

Bestell mir Nuggets und paar Curlys
Bro, hau mal ab mit deinen Burgies
Und mach die Biege mit dein Drecksrapsongs
Lukas, keiner kann was machen, sobald Clashgames kommt 

[REFRAIN]
Kein Mensch disst den Eierkopf
Das hier habt ihr euch eingebrockt
Jetzt löffelt’s aus!

Ihr wisst, ich bin der beste jetzt
In Brawl Stars und im Rapgeschäft
Ich fress euch auf

Wie Nuggets und Curlyfries
Pack - du Pommes in dein Burger rein
Ich krieg von deinen Songs einen Würgereiz
Nur die Coolen essen Nuggets und Curlyfries

Wer das liest ist eine Melone. 🍉

▬▬▬▬
🔰 SOCIAL MEDIA:
►Instagram: https://www.instagram.com/realclashgames/ (@RealClashGames)
►Twitch: https://www.twitch.tv/clashgamesstreamt
►Twitter: https://twitter.com/ClashGamesHD
►Tiktok: https://www.tiktok.com/@clashgamesreal?lang=de
►Spenden: https://www.tipeeestream.com/clashgames/donation
►Discord: https://discord.gg/dernita
▬▬▬▬
► Work with me:
• clashgames@lunyone.de ↪ ONLY for business inquiries!
• https://lunyone.com/de/
▬▬▬▬
• Copyright © ClashGames Inc. Alle Rechte vorbehalten",DE
