video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,video_error_or_removed,description,location
NPHgDVgIWeQ,,"LE JUSTE POIDS ! #2 (Avec Mastu, Zafeel)",JOYCA,24,2024-04-21T11:01:11Z,"Joyca,video,reaction,Français,zafeel,mastu,juste poids",1275935,96725,0,1215,https://i.ytimg.com/vi/NPHgDVgIWeQ/default.jpg,False,,"On s’affronte pour trouver le juste poids !

Merci à Ultra Premium Direct d’avoir sponsorisé la vidéo ! N’oubliez pas d’utiliser mon code « JOYCA » vous permettant d’avoir -25% pendant 48h pour tous les nouveaux clients ! puis de -20% pour tous les nouveaux clients jusqu’au 02/06/2024

Ça se passe ici : https://www.ultrapremiumdirect.com/?utm_source=Youtube&utm_medium=partenariat&utm_campaign=joyca-youtube-210424


Retrouvez aussi Ultra Premium Direct sur Instagram : https://www.instagram.com/ultrapremiumdirect


👉 Chaine Secondaire Lil Joyca : https://www.youtube.com/channel/UCgANFlYnbE47942AoazfNsg
👉 LIVE/TWITCH : https://www.twitch.tv/joyca/videos
👉 INSTAGRAM : Joyca
👉 X : https://twitter.com/JoycaOff
👉 TIK TOK : @joycaledelire

➤➤➤ Pour toutes demandes professionnelles ou commerciales : contact.joyca@gmail.com",FR
lPuGVHsTMn0,,FIGHT HIGHLIGHTS | DEVIN HANEY VS. RYAN GARCIA,DAZN Boxing,17,2024-04-21T08:08:55Z,"dazn,boxing,highlights,full fight,ko,knockout,top 10,The DAZN Boxing Show,Pelea,Boxeo,Pugile,dazn boxing",6481671,120438,0,19661,https://i.ytimg.com/vi/lPuGVHsTMn0/default.jpg,False,,"April 20, 2024 -- Devin Haney vs. Ryan Garcia Fight Highlights from New York City, New York. Presented by @AutoZone 

Subscribe to our YouTube channel 👉  http://bit.ly/DAZNBoxingYouTube
Subscribe to the DAZN X Series YouTube channel 👉 https://bit.ly/XSeriesYouTube 

Download the DAZN app now 👉  http://bit.ly/DAZNYoutube

Follow DAZN Boxing On Social Media 👇
Twitter: https://www.twitter.com/DAZNBoxing
Instagram: https://www.instagram.com/DAZNBoxing
Facebook: https://www.facebook.com/DAZN

The DAZN Boxing Show ► https://bit.ly/3EQ70HN
DAZN Rewind ► https://bit.ly/32iAaRT

#haneygarcia #DAZN #DAZNBoxing #Boxing",FR
l-nMKJ5J3Uc,,"Ages 1 - 100 Decide Who Wins $250,000",MrBeast,24,2024-04-20T15:59:59Z,,52364793,2840084,0,135326,https://i.ytimg.com/vi/l-nMKJ5J3Uc/default.jpg,False,,"I can’t believe who they picked
Thanks Top Troops for sponsoring this video. Download Top Troops at https://toptroops.onelink.me/JHnC/mrbeast or scan the QR code to get a FREE special Starter Pack for a limited time

Thanks Samsung for the Tab S9s - the Galaxy AI features are cool too: https://smsng.us/MrBTabS9

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Also thank you Concept Pixel for the LED Walls,it looked great!
 www.conceptpixels.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",FR
eMn43As24Bo,,Le Jeu de la Vie.,EGO,20,2024-04-20T14:00:07Z,,736392,98454,0,4657,https://i.ytimg.com/vi/eMn43As24Bo/default.jpg,False,,"Merci à Odoo de m'accompagner pour cette vidéo. Si vous êtes intéressés, n'hésitez pas à faire un tour ici :

https://www.odoo.com/r/0Gtf

Pour suivre la vidéo en parallèle si besoin, mon petit site fait maison :

https://jeu-de-la-vie.odoo.com/

_ _ _

Remerciements à Phillip Bradbury, à qui j'ai emprunté la vidéo ""Life in Life in Life"", juste ici :

https://youtu.be/4lO0iZDzzXk?si=8TFz9LJ9oef4N7o0

De même pour ""My Microscopic World"" pour sa vidéo ""Microscopic Life In A Drop Of Water"" : 

https://youtu.be/SGPflE5eHrU?si=lwSDw4K5cDvbtDqy

_

En plus :

Lenia + IA : https://developmentalsystems.org/sensorimotor-lenia/

L'ordinateur de Nicolas Loizeau : https://www.nicolasloizeau.com/gol-computer

_

N'hésitez pas à m'envoyer des liens, je veux en apprendre plus.

_

Si vous voulez essayer chez vous, vous pouvez télécharger Golly. Une fois à l'intérieur, à gauche, Patterns / Life / vous y trouverez quelques configurations intéressantes.

Sur le wiki du Jeu de la Vie, vous pouvez aussi simplement copier les configurations et les coller dans Golly, n'hésitez pas !

https://conwaylife.com/wiki

_ _ _

Mes réseaux :

Mail : ego.pro003@gmail.com
Twitter : https://twitter.com/ego_v1
Twitch : https://www.twitch.tv/ego_                                                                                                                           

_

Musiques : 
                                                                                                                                                                           
00.00 : Ian Post - Yule - Stripped Version
01.10 : Diluted - Aiyo
02.40 : Yonatan Riklis - Tales of the Mind
07.34 : C.K. Martin - The Endurance
10.40 : Curtis Cole - Odd Numbers
14.11 : Diffie Bosman - The Motions
20.07 : Charlie Ryan - Cosmic Cascades
23.17 : Ian Post - Yule - Instrumental Version
28.50 : Diffie Bosman - The Motions
32.06 : Sémø - Home Journey
                                                                             
_______________________________________________________


Recherches, script, voix, récolte des médias et montage (dont les jolies lignes de couleur pour vous montrer les chemins des gliders, oui c'est important, je suis fier) : moi-même. 😁

Motion design : Lucas perez ( @levilllageois sur instagram, ou https://lucasperez.framer.website/ )

Des bisous. 😘

_ 
                                                                                                                                                                                    
#jeudelavie #gameoflife #conway

_

Je suis tombé sur une pépite en faisant mes recherches, je ne pouvais pas ne pas partager.

https://youtu.be/6YsNRnZRgg8?si=ehkzyn5nvGTkQz_S",FR
CHbxIo_UaSI,,DÉGUSTATION AMERICAINE😍🇺🇸 / Les meilleurs moments du live 😍,Cameliaa92_,24,2024-04-20T18:52:41Z,,96414,4609,0,156,https://i.ytimg.com/vi/CHbxIo_UaSI/default.jpg,False,,"À l’issue d’un live dégustation qui fut encore Masterclass, j’ai décidé de vous faire une petite vidéo avec montage et vous la poster ici ! 😍

Bon visionnage, je vous aime merci pour la force c’est vous les boss  !! 💪🏼👑🥳",FR
FxtVRjcM-FA,,HIGHLIGHTS | Olympique Lyonnais vs. PSG -- UEFA Women's Champions League 2023-24 (Français),DAZN Women's Football,17,2024-04-20T19:57:58Z,"dazn,uwcl,womens champions league,highlights,stream,watch,full match,champions league,uefa,ucl,women's football,soccer,goals,live,recap,sport,free,WoSo",259325,3932,0,472,https://i.ytimg.com/vi/FxtVRjcM-FA/default.jpg,False,,"20 avril 2024 -- Olympique Lyonnais vs. Paris Saint-Germain, Demi-finale aller de l'UEFA Women's Champions League 2023-24

DAZN is proud to present a New Deal for women's football! Sign up for free to DAZN 👉 https://bit.ly/DAZNWFootballYouTube

Subscribe now to the best women's football channel on YouTube 👉 https://bit.ly/WomensFootballOnDAZN

Follow Our Social Channels 👇
Instagram: https://instagram.com/daznfootball
Twitter: https://twitter.com/DAZNFootball
Snapchat: https://bit.ly/UWCLSnap
TikTok: https://www.tiktok.com/@daznfootball 

#DAZN #UWCL #Football #soccer",FR
q3zqJs7JUCQ,,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),Taylor Swift,10,2024-04-20T00:00:06Z,"Taylor swift,taylor,swift,taylor swift ttpd,tortured poets department,new taylor swift,taylor swift album,ts ttpd,ttpd anthology,taylor swift fortnight,fortnite taylor swift,taylor swift",26013938,1218267,0,63754,https://i.ytimg.com/vi/q3zqJs7JUCQ/default.jpg,False,,"The official music video for “Fortnight (feat. Post Malone)” by Taylor Swift, from ‘THE TORTURED POETS DEPARTMENT’.

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

Join the #ForAFortnightChallenge on YouTube Shorts. Share 14 snippets of your life in one single Short with “Fortnight (feat Post Malone)” by using remix or adding the official sound.

https://yt.be/ForAFortnightChallenge

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store 
►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

Director: Taylor Swift
Director of Photography: Rodrigo Prieto 
Producer: Jil Hardin 
Editor: Chancler Haynes 
Production Designer: Ethan Tobman 
1st AD: Anthony Dimino 
Visual Effects: Parliament
Production Companies: Taylor Swift Productions & Object & Animal

#taylorswift #postmalone #fortnight #thetorturedpoetsdepartment",FR
y_WGL8rVrz0,,skibidi toilet 73 (part 1),DaFuq!?Boom!,24,2024-04-20T21:20:07Z,"sfm animation,skibidi toilet vs cameramen,skibidi toilet,scientist skibidi,tv woman,titan cameraman,titan speakerman,skibidi toilet all episodes,titan tv man,g-toilet,gman toilet",14457786,821437,0,70399,https://i.ytimg.com/vi/y_WGL8rVrz0/default.jpg,False,,"cameramen infiltrate last remaining part of skibidi lab

full-screen version

Respectful assets used in the video:
suits - https://steamcommunity.com/sharedfiles/filedetails/?id=2849230339
speakers models by ivip -https://steamcommunity.com/sharedfiles/filedetails/?id=2680336465
https://steamcommunity.com/sharedfiles/filedetails/?id=2684729253
map - https://steamcommunity.com/sharedfiles/filedetails/?id=1958007290
additional particles by @HoovyTube 

Contact me:
instagram.com/dafuqboomtv
blugrayguy@gmail.com",FR
WCi3iyugJY4,,QUOI DE BEAU CHEZ ACTION ? Haul Nouveautés Avril,MissouMakeup,24,2024-04-21T09:00:30Z,"haul action,action,missou,missou action,missou haul,action avril",144555,10147,0,249,https://i.ytimg.com/vi/WCi3iyugJY4/default.jpg,False,,"HEY ! DÉROULE ICI POUR PLUS D'INFO ↓

J'espère que tu vas bien et que tu as bien kiffé cette vidéo ❤️

Mes réseaux sociaux 👉  INSTA: https://bit.ly/3yzzjXW
                                       👉 TIKTOK: https://bit.ly/2VCoZjH
                                       👉  FACEBOOK: https://bit.ly/2VEB0ER

Contact professionnel uniquement: missou.contact@gmail.com

Si tu as des questions, n'hésite pas en commentaire !

Pleins de bisous et à la prochaine 


LOVE 


Missou",FR
FP5E8BK7e_Y,,ON PASSE 24H MENOTTÉS ! (partie 2),Tamburini's,24,2024-04-20T15:40:01Z,,104700,6039,0,323,https://i.ytimg.com/vi/FP5E8BK7e_Y/default.jpg,False,,"Toutes les informations sont en dessous ! Déroule !
_______________________________________________________________ 

Hello les gaaaaaaars, on espère que vous allez bien et aujourd'hui on se retrouve pour la partie 2 de notre défis de rester menottés durant 24h!

REJOINS NOUS SUR LES RÉSEAUX ♡

t w i t t e r // @aiextamburini
i n s t a g r a m // @tamburinialex & @lenatamburinioff 
s n a p c h a t // alextamburiniyt 
t i k t o k // @alextamburini & @lenatamburininew

contact professionnel : alexprtmbr@gmail.com 

1,15M♡ (MERCI!!)",FR
