video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,video_error_or_removed,description,location
pRnzK_VNclI,,Number_i - Blow Your Cover (Official Dance Performance M/V),Number_i OFFICIAL,24,2024-04-20T12:00:48Z,,821375,71394,0,8100,https://i.ytimg.com/vi/pRnzK_VNclI/default.jpg,False,,"Number_i - Blow Your Cover (Official Dance Performance M/V)

Stream “Blow Your Cover” now.
https://tobe-music.lnk.to/BlowYourCover_EP
 
Pre-order the Mini Album “No.O -ring-” now.
Available on May 27th.
https://tobe-store.jp/pages/no-o-ring

The members of Number_i are Sho Hirano, Yuta Jinguji and Yuta Kishi.

Choreographer : NOPPO (s**t kingz)

►Connect with Number_i
Official Site：https://tobe-official.jp/artists/number_i
Fan Club：https://tobe-community.jp/fc/number_i/account
X：https://twitter.com/number_i_staff
IG：https://www.instagram.com/number_i_staff
TikTok：https://www.tiktok.com/@number_i_staff
YouTube：https://www.youtube.com/@Number_i_official

#ShoHirano IG：https://www.instagram.com/sho_h_desyo/
#YutaJinguji IG：https://www.instagram.com/_yutajinguji/
#YutaKishi IG：https://www.instagram.com/_yuta_kishi_/
#YutaKishi X：https://twitter.com/_yuta_kishi_

#Number_i
#BlowYourCover
#Number_i_BlowYourCover",JP
iBtRTsUF3qk,,夫に妊娠をサプライズで報告する日。,フミカナ【FUMIYA to KANAMI】,24,2024-04-20T10:00:07Z,,1086226,53863,0,3186,https://i.ytimg.com/vi/iBtRTsUF3qk/default.jpg,False,,"_
２年前の「あの日」の動画
https://youtu.be/nD9YK90cmHM

【メンバーシップ参加はこちらから】
https://www.youtube.com/channel/UCwGNwOsWOX4v-3k2JO088SQ/join


【個人事務所】
モデル・広告・イベント等、各種お問い合わせは下記公式窓口からお願い致します。
https://form.run/@fumikana1020
_
_

👫🏽🐶LINE VOOM👫🏽🐶

https://linevoom.line.me/post/_dUjPPfzgopcmTrSuTTCMFBQlMe636TSmA5chUbg/1165780092886904503

-

🧔🏽FUMIYA🧔🏽

🌴Instagram
https://instagram.com/fumiya_1105_?igshid=YmMyMTA2M2Y=

👩🏽KANAMI👩🏽

🌴Instagram
https://www.instagram.com/kanami_0530

👫🏽FUMIYA to KANAMI👫🏽
🌴Instagram
https://instagram.com/fumiyatokanami?igshid=8qmh47ol6qbs _
_",JP
sWDtOqQkCSo,,ブルアカらいぶ！いとをかし☆春の京都旅行SP,ブルーアーカイブ-Blue Archive-,20,2024-04-20T11:30:09Z,"ブルーアーカイブ,ブルアカ",945157,20001,0,189,https://i.ytimg.com/vi/sWDtOqQkCSo/default.jpg,False,,"公式生放送「ブルアカらいぶ！いとをかし☆春の京都旅行SP」をお届けいたします！

今回は京都にある「国立京都国際会館 ANNEX HALL」から公開生放送！
ゲーム内外の最新情報や、Xで募集していた「3周年ファンアート」企画の受賞作品発表をおこないます！
先生、生放送を楽しみにしていてくださいね♪

さらに、放送中にハッシュタグ 「#ブルアカらいぶいとをかしSP」 を付けてXでポストすると、
番組内で先生のポストを取り上げさせていただくかもしれませんよ！
放送を見ながら、ぜひ感想や番組へのコメントを投稿してみてくださいね！

▼配信日時
2024年4月20日（土）17：00～予定

▼出演者（順不同/敬称略）
坂巻 学（MC）
愛原 ありさ（メグ役）
乾 夏寧（コユキ役）
後藤 彩佐（ツクヨ役）
白砂 沙帆（ツバキ役）
市来 光弘（ゲスト）


▼配信媒体
YouTube、X
※Xでの配信は、配信当日にブルーアーカイブ公式Xアカウント（@Blue_ArchiveJP）にて投稿される番組開始ポストよりご視聴いただけます。

▼生放送連動Xキャンペーン
番組の配信と同時にXキャンペーンを実施します。
ブルーアーカイブ公式Xアカウント（@Blue_ArchiveJP）をフォローのうえ、応募いただいた方の中から
抽選で合計20名様に、「番組特製グッズ」をプレゼント！

＜チャンス①＞抽選で10名様
ブルーアーカイブ公式Xアカウント（@Blue_ArchiveJP）から投稿される番組開始ポストをリポスト

＜チャンス②＞抽選で10名様
「#ブルアカらいぶいとをかしSP」をつけてポストを投稿！

＜応募期間＞
番組開始ポストの投稿～番組終了まで

※ブルーアーカイブ公式Xアカウントのフォローを外されていた場合、当選後にご連絡が取れない場合など、応募を無効とさせていただく場合がございますので、あらかじめご了承ください。
※チャンス①とチャンス②での重複当選はございません。

▼アプリダウンロードはこちら！
https://app.adjust.com/1blt0vct


公式サイト：https://bluearchive.jp/
公式X：https://twitter.com/blue_archivejp

© NEXON Games Co., Ltd. ©2020 Yostar, Inc. All Rights Reserved.

#ブルーアーカイブ　#ブルアカ",JP
dOiD-MB0z4Q,,ホタルイカをバキュームで吸いまくる,ホモサピ,24,2024-04-20T09:33:18Z,"ホモサピ,野食,サバイバル,昆虫,キャンプ",730211,18040,0,723,https://i.ytimg.com/vi/dOiD-MB0z4Q/default.jpg,False,,"◆書籍「いきもの調査報告書」Amazon
https://amazon.co.jp/dp/4048975528


◆初エッセイ
地球は食べ物 いきもの獲って食べてみた日記 https://www.amazon.co.jp/dp/4048974467/

◆Twitter https://twitter.com/hommsapi

◆Instagram https://www.instagram.com/hommsapi/

◆サブチャンネル　https://www.youtube.com/channel/UCsRsQ4M4ieo4xRl191Itp-Q

英語翻訳：小笠原 萌　 https://www.virally.biz

ーーーーーーーーーーーーーーーーーーーーーーーーー
ホモサピは、株式会社アナライズログとエージェント契約を締結しています。
ビジネスなどに関するお問い合わせは以下のURLまでお願い致します。
https://analyzelog.jp/contact
ーーーーーーーーーーーーーーーーーーーーーーーーー
 ◆その他ご連絡はTwitterのDMでお願い致します

◆贈り物は下記の住所まで

【〒171-0022 東京都豊島区南池袋 3-13-9-306 ホモサピ宛】

※冷凍、冷蔵、生ものは受け取れませんのでご注意下さい！",JP
7GPUROErip0,,【勝利の女神:NIKKE】 1.5周年記念生放送 王国のセレブレーション,勝利の女神:NIKKE,20,2024-04-20T12:33:10Z,,514173,13454,0,146,https://i.ytimg.com/vi/7GPUROErip0/default.jpg,False,,"#nikke #祝NIKKE1周年半生放送

◆番組概要
まもなく到来する1.5周年のアニバーサリーを記念して、
4月20日(土) 19:00より【勝利の女神:NIKKE】 1.5周年記念生放送 王国のセレブレーション配信決定！

今回の1.5周年王国のセレブレーションでは、ゲームの最新情報など今後のオンライン・オフラインイベントのほか、プレイヤーの皆様のため豪華で多彩な内容とサプライズをご用意しました！

指揮官の皆様！
4月20日には一緒に盛り上がりましょうね

※『勝利の女神：NIKKE』ダウンロードはこちら！
（お使いのスマートフォンよりアクセスしてください）
https://tgss.onelink.me/zuVh/e6hny01d

◆放送時間
2024年4月20日(土) 19:00開始
※プログラム内容/開始時間/出演者は正式な生配信時の内容に準じます。
※プログラムの内容と関係のないコメント及び誹謗中傷コメントはお控えください。

◆出演者 ※敬称略
MC
・マフィア梶田
・金田朋子 
ゲスト
・伊織もえ
・日高里菜（ネオン役）
・羊宮妃那（アリス役）
・潘めぐみ（キロ役）

◆公式サイト
https://nikke-jp.com

◆公式X
https://twitter.com/NIKKE_japan

◆公式Discord
https://discord.com/invite/nikke-jp


©2024 PROXIMA BETA PTE. LTD. ALL RIGHTS RESERVED. 
©2024 SHIFT UP CORP. ALL RIGHTS RESERVED.",JP
l-nMKJ5J3Uc,,"Ages 1 - 100 Decide Who Wins $250,000",MrBeast,24,2024-04-20T15:59:59Z,,52232019,2836499,0,135186,https://i.ytimg.com/vi/l-nMKJ5J3Uc/default.jpg,False,,"I can’t believe who they picked
Thanks Top Troops for sponsoring this video. Download Top Troops at https://toptroops.onelink.me/JHnC/mrbeast or scan the QR code to get a FREE special Starter Pack for a limited time

Thanks Samsung for the Tab S9s - the Galaxy AI features are cool too: https://smsng.us/MrBTabS9

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Also thank you Concept Pixel for the LED Walls,it looked great!
 www.conceptpixels.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",JP
scMe-coaAXM,,鬼ノ宴 / 不破湊 Cover,不破 湊 / Fuwa Minato【にじさんじ】,10,2024-04-20T12:00:07Z,"不破湊,ふわみなと,fuwaminato,にじさんじ,nijisanji,Vtuber,anime,アニメ,japan,切り抜き,雑談,game,ゲーム,実況,歌ってみた,カバー",302788,36404,0,1122,https://i.ytimg.com/vi/scMe-coaAXM/default.jpg,False,,"本家様｜友成空　https://youtu.be/NFzyrPK9rtM
絵｜SiNA　https://twitter.com/Sinaco_O
動画｜有栖永真　https://twitter.com/alice_eishin
Mix｜快晴P　https://twitter.com/KAISE_P

歌唱｜不破湊　https://twitter.com/Fuwa_Minato


※未成年者の視聴者の方々は、下記リンク先の注意事項もご覧ください。 
https://www.anycolor.co.jp/notice-for-minors",JP
zS4r0SjyDOI,,千葉雄喜 - チーム友達 / THE FIRST TAKE,THE FIRST TAKE,10,2024-04-19T13:00:08Z,"the first take,firsttake,ファーストテイク,ふぁーすとていく,一発撮り,TFT,音楽,音楽番組,千葉雄喜,ちばゆうき,YukiChiba,チーム友達,ちーむともだち,ラップ,rap,HIPHOP,TEAMTOMODACHI,Koshy",1015041,37712,0,3131,https://i.ytimg.com/vi/zS4r0SjyDOI/default.jpg,False,,"「THE FIRST TAKE」は、一発撮りのパフォーマンスを鮮明に切り取るYouTubeチャンネル。

第428回は2024年に本名で音楽活動を再開した千葉雄喜が初登場。
披露するのは、リリース前にも関わらずクラブシーンで数々のリミックスが誕生し話題となり、リリース後にはSpotify国内バイラルチャート(2月26日付)にて初登場1位を獲得し、日本のみならず、クリス・ブラウン、バン・B、デューク・デュース、NLEチョッパ、ミーガン・ジー・スタリオンなどからも拡散され世界中でムーブメントを起こす「チーム友達」。 
セルフコール＆レスポンス的なリリックと、数々のラッパーの楽曲を手掛けるKoshyと、Young Cocoがプロデュースした中毒性のあるビートが特徴的な本楽曲を「THE FIRST TAKE」のために集まった""友達""とメディア初パフォーマンス。

STREAMING & DOWNLOAD：https://linkco.re/MHGYrUcX

■千葉雄喜 OFFICIAL
Web: https://www.tunecore.co.jp/artists/yukichiba?lang=ja
YouTube: https://www.youtube.com/@Yuki_chiba
Instagram: https://www.instagram.com/yukichiba_

■「THE FIRST TAKE」OFFICIAL  
Web Site: https://www.thefirsttake.jp/ 
Instagram: https://www.instagram.com/the_firsttake/ 
Twitter: https://twitter.com/The_FirstTake    
TikTok: https://www.tiktok.com/@the_first_take 
THE FIRST TIMES: https://www.thefirsttimes.jp/

■RULES
白いスタジオに置かれた一本のマイク。 
ここでのルールはただ一つ。
一発撮りのパフォーマンスをすること。 

A microphone and a white studio.
And 1 rule.
You’ve got 1 TAKE.

■STATEMENT
一発撮りで切りとる。
今という時間と、
今しか出せない音を。

THE FIRST TAKE
この瞬間は、二度とない。

CAPTURE THE TAKE.
THIS MOMENT.
THIS SOUND.

THE FIRST TAKE
IT ONLY HAPPENS ONCE.

In episode 428, Yuki Chiba, who reclaimed his original name upon relaunching his career in 2024, makes his first appearance on THE FIRST TAKE. 
He will perform “Team Tomodachi,” a track presently gaining global momentum, shared on social media by artists such as Chris Brown, Bun B, Duke Deuce, NLE Choppa, and Megan Thee Stallion. The song is based on self-call & response-type lyrics and is produced by Koshy, renowned for his work with numerous rappers, and Young Coco.
Enjoy this track’s infectious and distinctive beat, performed with ""friends"" gathered specifically for ""THE FIRST TAKE"" for the first time on a media platform.


CREDITS    
―      
Director/Creative Director: Keisuke Shimizu
Art Director: Yo Kimura
Copywriter: Hiroshi Yamazaki
Director of Photogrphy: Kazuki Nagayama
Technical Coordinator: Yoshikazu Ando
Video Engineer: Momori Harigae
Camera Assistant: Yushin Yamamoto, Akito Hayashi, Aoi Murakumo, Risa Matsuzaki, Ryoma Fujiwara
Lighting Director: Kota Hagihara
Lighting Assistant: Shiina Watanabe, Takuya Nojima, Yukinari Suda, Shusuke Mukai, Chihiro Homan
Stage Carpenter: studio noll
Offline Editor/Colorist/Online Editor: Tomoo Noda
Production Assistant: Kai Takaha, Nagisa Taki, Kazuki Hirayama, Ayaka Masada
Producer: Keisuke Nishikawa (session)


#THEFIRSTTAKE #千葉雄喜 #チーム友達",JP
ajtJqtLuXrg,,"【ライブ本編】ChroNoiR One-Man Live ""Welcome to Wonder Wander World"" / 無料パート",にじさんじ,24,2024-04-20T09:32:51Z,"バーチャルライバー,UCX7YkU9nEeaoZbkVLVajcMg,にじさんじ,バーチャルYouTuber,VTuber,YouTuber,ユーチューバー,バーチャルユーチューバー,ライバー,アニメ,anime,nijisanji,ゲーム配信",352370,21308,0,266,https://i.ytimg.com/vi/ajtJqtLuXrg/default.jpg,False,,"ChroNoiR One-Man Live ""Welcome to Wonder Wander World""
今年2月に発売した2ndフルアルバムを引っ提げた、ChroNoiR初のワンマンライブ。

✦━━✦━━✦━━✦━━✦

こちらの放送ではChroNoiR One-Man Live ""Welcome to Wonder Wander World""の様子をお送りいたします

※本配信のアーカイブは、公演終了後もお楽しみいただけます。
※アーカイブの公開時間・期限・内容は、予告なく変更させて頂く場合がございます。

 ▼ライブ本編を全て楽しめる、ネット配信視聴チケットを販売中！
https://dwango-ticket.jp/project/WWYhGnv7rD
※2024年5月6日（月・祝）23:59まで
※本公演を最後までお楽しみいただく場合、ネット配信視聴チケットのご購入が必要となります。

【公演概要】
タイトル：ChroNoiR One-Man Live ""Welcome to Wonder Wander World""
日程：2024年4月20日（土）
時間：OPEN 17時00分 / START 18時00分
会場：大阪城ホール
特設サイト： https://www.nijisanji.jp/events/chronoir_onemanlive2024/
 
【出演者】 
ChroNoiR （@ChroNoiR）
　叶 （@Kanae）
　葛葉 （@Kuzuha）
 
【ご注意事項】
本番組は全編スクリーンショット&SNS投稿OKです。
Screenshots of the live stream & posting the screenshots on social media are allowed.
全场可截图并分享在各个SNS平台。

本配信の切り抜き行為はご遠慮ください。
Please refrain from clipping this stream.
本次直播禁止上传切片，感谢您的理解与配合

※未成年者の視聴者の方々は、下記リンク先の注意事項もご覧ください。
https://www.anycolor.co.jp/notice-for-minors",JP
oUW1RPbbqJE,,BRAWLER MUTATIONS WILL BREAK THE GAME! - Brawl Talk,Brawl Stars,20,2024-04-20T15:00:07Z,"brawl stars,mobile game,mobile rpg,battle royale,supercell,game,mutations,brawl talk,egg,marzio,drew,dani,draco,lily",16989923,836382,0,61668,https://i.ytimg.com/vi/oUW1RPbbqJE/default.jpg,False,,"Brawl Talk is here! And remember to JOIN A CLUB!
FREE EGG PIN: https://link.brawlstars.com/?action=voucher&code=cc017c48-b904-448d-9fe1-dd494e28bfd2

#brawlstars #brawltalk #mutations 

Download NOW!! ►► https://supr.cl/2K62CZG
Subscribe!! ►► https://supr.cl/subscribe",JP
