video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,video_error_or_removed,description,location
UZPeGPbqFTA,,Jung Hoo Lee's First Home Run at Oracle Park | 이정후 홈런 | San Francisco Giants Highlights,San Francisco Giants,17,2024-04-20T20:31:19Z,"San Francisco Giants,SF Giants,SFGiants,Oracle Park,San Francisco,Baseball,Major League Baseball,MLB,Giants,Highlights",424766,4796,0,450,https://i.ytimg.com/vi/UZPeGPbqFTA/default.jpg,False,,"Jung Hoo Lee's first Oracle Park Home run came as a leadoff hit in the 1st inning vs the Arizona Diamondbacks on April 20th, 2024.

Subscribe to our YouTube channel for the best, exclusive content: http://youtube.com/giants and check out http://sfgiants.com for our full archive of videos.

http://facebook.com/giants
http://instagram.com/sfgiants
http://twitter.com/sfgiants
https://www.snapchat.com/add/sfgiants
https://vm.tiktok.com/x5r2Yj/",KR
SWIfdLiuNEw,,"5년만에 돌아온 영화관 알바, 그런데 아바타를 곁들인... | 영화관 | 라이즈 | 워크맨2",워크맨-Workman,24,2024-04-19T09:00:31Z,"워크맨,장성규,스튜디오룰루랄라,영화관,라이즈,아이돌,kpop,스엠,SM,쇼타로,은석,성찬,원빈,승한,소희,앤톤,메가박스,CGV,롯데시네마,팝콘,아바타,알바,직업체험,엠넷,RIIZE,라이즈impossible,Love119,아르바이트,워크맨2,장성규알바,남자아이돌",1320039,43992,0,2665,https://i.ytimg.com/vi/SWIfdLiuNEw/default.jpg,False,,"JOB것덜~~,,♥ 인력소장이다,,~~

오늘은,, 성규가,,, 영화관에서,,
신입 알바생 라이즈와 함께 알바를 하고 왔다,,

영화관에서 알바를 처음 시작한 지
벌써 5년이라는 시간이 흘렀구먼,,,

처음 같이 일했던 엘사 선배님,
남자 학생 커플도 근황이 참 궁금헌데,,,,^^,,
잘 살고 있는감,,?

우리가 영화관에 다시 방문했던 것 처럼,,,
라이즈도 용돈 떨어지믄,,
알바하러 꼭 재방문 해주믄 고맙겄어~
알갔제,,~?

세상의 모든 job것들을 리뷰한다 [워크맨]
▶ 매주 금 오후 6시 공개

▶ 일거리 제보: workman2you@gmail.com
▶ 비즈니스 문의: lululala.ad@.hll.kr

※ 일반인 출연자에 대한 지나친 비방 및 인신공격성 댓글은 관리자에 의해 삭제될 수 있습니다.

#라이즈 #RIIZE #영화관
#쇼타로 #은석 #성찬 #원빈 #소희 #앤톤
#워크맨 #워크맨2 #workman 
#알바 #아르바이트 #알바리뷰
#극한직업 #직업체험 #극한알바",KR
l-nMKJ5J3Uc,,"Ages 1 - 100 Decide Who Wins $250,000",MrBeast,24,2024-04-20T15:59:59Z,,52364793,2840420,0,135343,https://i.ytimg.com/vi/l-nMKJ5J3Uc/default.jpg,False,,"I can’t believe who they picked
Thanks Top Troops for sponsoring this video. Download Top Troops at https://toptroops.onelink.me/JHnC/mrbeast or scan the QR code to get a FREE special Starter Pack for a limited time

Thanks Samsung for the Tab S9s - the Galaxy AI features are cool too: https://smsng.us/MrBTabS9

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Also thank you Concept Pixel for the LED Walls,it looked great!
 www.conceptpixels.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",KR
dcL6YXce6Rs,,[2024 AFC U23 카타르 아시안컵] 중국 VS 대한민국 풀 하이라이트,쿠팡플레이 스포츠,17,2024-04-19T18:00:18Z,,1189404,9645,0,2795,https://i.ytimg.com/vi/dcL6YXce6Rs/default.jpg,False,,"쿠팡플레이에서 2024 AFC U23 카타르 아시안컵 생중계와 3분 하이라이트, 풀 하이라이트, 경기 다시보기, 골모음, 주요 장면 등 영상 컨텐츠를 가장 빠르게 만나보세요!

지금 쿠플하세요
https://coupangplay.app.link/H254llSbRIb",KR
QPIjRFbUSxY,,[가로] 송지은♡박위 - 감사 [불후의 명곡2 전설을 노래하다/Immortal Songs 2] | KBS 240420 방송,KBS 레전드 케이팝,10,2024-04-20T11:16:01Z,"불후의명곡,리메이크,음악예능,노래대결,전설,세대공감,가요,추억,명곡,ImmortalSongs2",361295,14524,0,1290,https://i.ytimg.com/vi/QPIjRFbUSxY/default.jpg,False,,"[가로] 송지은♡박위 - 감사

#불후의명곡 #리메이크 #음악예능 #노래대결 #전설 #세대공감 #가요 #추억 #명곡 #ImmortalSongs2 

----------------------------------------------
        ▶ Homepage : https://program.kbs.co.kr/2tv/enter/satfreedom/pc/index.html
        ▶ Wavve : https://www.wavve.com/
        ▶ Youtube : https://www.youtube.com/@LegendKpop
----------------------------------------------",KR
z88n9M7308g,,현남친 작품 (SUB),짧은대본 ShortPaper,24,2024-04-20T11:00:52Z,"드라마,web drama,남사친,여사친,로멘스,연애,사랑,love,대학교,대학생활,FLO,플레이리스트,음악",485113,9074,0,682,https://i.ytimg.com/vi/z88n9M7308g/default.jpg,False,,"#FLO #플레이리스트 #최유리 #현남친 #작품
이 영상은 FLO로 부터 제작비를 지원받아 제작되었습니다.
멤버십 가입 -https://www.youtube.com/channel/UChgOgRNxrtCcVARDQT_c-Zg/join

7천만 곡 FLO가
7만 원을 드려요 💵💙

✔ 참여 방법 :
나만의 '들으면 행복해지는 노래' 댓글로 공유하기
(#FLO #7천만곡 해시태그 필수 포함)
✔ 경품 : 네이버페이 상품권 7만 원(1명), 네이버페이 상품권 7천 원(30명)
✔ 기간 : 4/20(토) ~ 5/4(토)
✔ 발표 : 5/9(목) 대댓글로 개별 발표

100원으로 7천만 곡을 들을 수 있는 기회까지
짧은 대본 구독자들을 위해 준비한 혜택을 아래 링크에서 확인해 주세요.
▶ https://bit.ly/FLOxShort_paper

* 사칭 계정을 통해 개인정보 수집 및 결제를 유도하는 사례가 있으니 개별 메시지 등을 받는 경우 정식 계정인지 여부를 반드시 확인하시기 바랍니다.

동시녹음 원경찬 신주훈
https://www.instagram.com/location_sound_

분장 총괄
이지혜 
https://www.instagram.com/@2xoxeoxex 
https://www.instagram.com/@wit_makeup_official

헤어
박가을 https://www.instagram.com/@wh_autumn
박은총 https://www.instagram.com/@silvergun_96

어시스턴트
최지수 https://www.instagram.com/@baekhyanggua

음원정보
최유리 - 이름
https://www.music-flo.com/detail/album/412005311/albumtrack

광고문의 - ad@shortenm.com
일반문의 - short_paper@naver.com
배우지원 - short_audi@naver.com
배우협업문의 - casting@shortenm.com",KR
IotILADJVZw,,(ENG) '하마터면 열심히 살 뻔했네..' 내 남편의 출근길 VLOGㅣ할명수 ep.179,할명수,24,2024-04-19T08:30:04Z,"JTBCEntertainment,예능,JTBC,명수,Gpark,Parkmyungsoo,Halmyungsoo,명수옹,거성,명수형,박명수 레전드,오분순삭,무한도전,무도,무도 레전드,박명수 집 공개,박명수 집,박명수 브이로그,할명수 브이로그,Halmyungsoo vlog,myungsoo vlog,기습공격,숙소 브이로그,무한도전 집 공개,연예인 집 공개,유재석 집,박명수 가족,박명수 일상,박명수 대저택,박명수 건물,할명수 투어,세븐틴,디에잇,seventeen,the8,할명수 세븐틴,할명수 디에잇,세븐틴 디에잇,마라 리뷰",702624,12172,0,627,https://i.ytimg.com/vi/IotILADJVZw/default.jpg,False,,"명-하!

세미 집 공개로 가
전체를 공개할 순 없어
궁금하면 직접 놀러오라고 해

#할명수 #박명수 #VLOG #브이로그
========================================
✌할명수 인스타그램✌ https://www.instagram.com/jtbc_hms/

※ 협찬/비즈니스 문의
JTBC 마케팅솔루션팀 jtbc.ms@jtbc.co.kr

※본 영상은 상업적 목적으로 영상 및 스틸을 무단 사용할 경우, 법적 조치가 진행될 수 있음을 알려드립니다.
※ 지나친 욕설 및 인신공격성 댓글은 삭제 조치될 수 있습니다.",KR
Ey53EQhkLY8,,RIIZE 라이즈 'Impossible' MV,SMTOWN,10,2024-04-18T09:00:18Z,"sm,RIIZE,Impossible,SHOTARO,EUNSEOK,SUNGCHAN,WONBIN,SOHEE,ANTON,라이즈,임파서블,쇼타로,은석,성찬,원빈,뮤비,뮤비 티저,Music VIdeo,MV",6210973,228775,0,15226,https://i.ytimg.com/vi/Ey53EQhkLY8/default.jpg,False,,"RIIZE's prologue single ""Impossible"" is out!
Listen and download on your favorite platform: https://RIIZE.lnk.to/Impossible

[Tracklist] 
01 Impossible
02 Siren

Subscribe to RIIZE Official YouTube Channel!
https://www.youtube.com/@RIIZE_official?sub_confirmation=1

RIIZE official 
https://youtube.com/@RIIZE_official
https://www.riizeofficial.com   
https://www.instagram.com/riize_official
https://twitter.com/riize_official
https://www.facebook.com/RIIZE.official
https://www.tiktok.com/@riize_official
https://weibo.com/riize

#RIIZE #라이즈 #Impossible
#RIIZE_Impossible
#RISEandREALIZE 
#RIIZING
RIIZE 라이즈 'Impossible' MV ℗© 2024 SM Entertainment, under exclusive license to RCA Records and UNIVERSAL MUSIC LLC",KR
_UPynjzuOlw,,[BE ORIGINAL] RIIZE(라이즈) 'Impossible' (4K),STUDIO CHOOM [스튜디오 춤],24,2024-04-20T13:00:34Z,"M2,엠투,스튜디오 춤,스춤,Studio choom,COVERS,커버스,DANCE THE X,댄스 더 엑스,댄스,DANCE,비 오리지널,BE ORIGINAL,커버,COVER,Artist Of The Month,AOTM,Drop the dance,드롭더댄스,Mix & Max,믹스앤맥스,믹앤맥,riize,RIIZE,라이즈,원빈,쇼타로,소희,성찬,은석,앤톤,승한,wonbin,shotaro,sohee,sungchan,eunseok,anton,seunghan,라이즈 원빈,라이즈 앤톤,riize impossible,impossible,impossible riize",822673,70744,0,2968,https://i.ytimg.com/vi/_UPynjzuOlw/default.jpg,False,,"[BE ORIGINAL] RIIZE 'Impossible'
[비 오리지널] 라이즈 '임파서블'

컴백마다 성장해서 돌아오는 라이즈🧡
(1:11) 하우스 스텝도 스근하게 말아줍니다👣

#RIIZE #라이즈 #BEORIGINAL

Stream various performance video on #STUDIOCHOOM!

👉SUBSCRIBE👈
YouTube: https://www.youtube.com/STUDIOCHOOM
Facebook:  https://www.facebook.com/StudioCHOOM
Instagram: https://www.instagram.com/studio_choom/
Naver TV: https://tv.naver.com/cjenm.STUDIOCHOOM",KR
THm4xvZICG0,,"""글쎄 이건 운명이에요"" 위험천만한 도로 위에서 운명적인 만남을 한 유기견 더블알과 보호자, 눈물 없이 볼 수 없는 개 감동 스토리 #왜그러냥귀엽개",EBS 세나개 x 고부해 - 왜그러냥? 귀엽개!,15,2024-04-19T11:00:27Z,"세나개,고부해,강아지,고양이,댕댕이,냥이,dog,cat,왜냥개,강형욱,설채현,나응식,김명철,왜냥개TV,왜냥개tv,왜그러냥귀엽개,왜그러냥귀엽게,세상에나쁜개는없다,고양이를부탁해,설채현수의사,나응식수의사,김명철수의사,냐옹신,냥신,미야옹철",348814,8498,0,448,https://i.ytimg.com/vi/THm4xvZICG0/default.jpg,False,,"한겨울 위험천만 도로를 달리던 유기견...

사람의 손길조차 거부하던 아이가 제발로 찾아왔다?

떠돌이견에서 바이크견으로 견. 생. 역. 전.

바뀐 인생과 더불어 생긴 새로운 취미 💦

사고뭉치 더블알의 두번째✌ 견생 적응기!

많은 유기견들의 희망을 품고 질주를 시작한다! 🏍 🛵

#더블알 #유기견 #감동스토리 #왜그러냥귀엽개 #왜냥개 #세나개 #세상에나쁜개는없다 #ebs #반려견 #감동 #눈물 #사랑 #견생

📺방송정보
📌프로그램명: 세상에 나쁜 개는 없다 - 떠돌이견 더블알의 개터사이클
📌방송일자: 2024년 4월12일",KR
