video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,video_error_or_removed,description,location
l-nMKJ5J3Uc,,"Ages 1 - 100 Decide Who Wins $250,000",MrBeast,24,2024-04-20T15:59:59Z,,52364793,2839889,0,135320,https://i.ytimg.com/vi/l-nMKJ5J3Uc/default.jpg,False,,"I can’t believe who they picked
Thanks Top Troops for sponsoring this video. Download Top Troops at https://toptroops.onelink.me/JHnC/mrbeast or scan the QR code to get a FREE special Starter Pack for a limited time

Thanks Samsung for the Tab S9s - the Galaxy AI features are cool too: https://smsng.us/MrBTabS9

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Also thank you Concept Pixel for the LED Walls,it looked great!
 www.conceptpixels.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",MX
lPuGVHsTMn0,,FIGHT HIGHLIGHTS | DEVIN HANEY VS. RYAN GARCIA,DAZN Boxing,17,2024-04-21T08:08:55Z,"dazn,boxing,highlights,full fight,ko,knockout,top 10,The DAZN Boxing Show,Pelea,Boxeo,Pugile,dazn boxing",6481671,120421,0,19657,https://i.ytimg.com/vi/lPuGVHsTMn0/default.jpg,False,,"April 20, 2024 -- Devin Haney vs. Ryan Garcia Fight Highlights from New York City, New York. Presented by @AutoZone 

Subscribe to our YouTube channel 👉  http://bit.ly/DAZNBoxingYouTube
Subscribe to the DAZN X Series YouTube channel 👉 https://bit.ly/XSeriesYouTube 

Download the DAZN app now 👉  http://bit.ly/DAZNYoutube

Follow DAZN Boxing On Social Media 👇
Twitter: https://www.twitter.com/DAZNBoxing
Instagram: https://www.instagram.com/DAZNBoxing
Facebook: https://www.facebook.com/DAZN

The DAZN Boxing Show ► https://bit.ly/3EQ70HN
DAZN Rewind ► https://bit.ly/32iAaRT

#haneygarcia #DAZN #DAZNBoxing #Boxing",MX
y_WGL8rVrz0,,skibidi toilet 73 (part 1),DaFuq!?Boom!,24,2024-04-20T21:20:07Z,"sfm animation,skibidi toilet vs cameramen,skibidi toilet,scientist skibidi,tv woman,titan cameraman,titan speakerman,skibidi toilet all episodes,titan tv man,g-toilet,gman toilet",14457705,821402,0,70397,https://i.ytimg.com/vi/y_WGL8rVrz0/default.jpg,False,,"cameramen infiltrate last remaining part of skibidi lab

full-screen version

Respectful assets used in the video:
suits - https://steamcommunity.com/sharedfiles/filedetails/?id=2849230339
speakers models by ivip -https://steamcommunity.com/sharedfiles/filedetails/?id=2680336465
https://steamcommunity.com/sharedfiles/filedetails/?id=2684729253
map - https://steamcommunity.com/sharedfiles/filedetails/?id=1958007290
additional particles by @HoovyTube 

Contact me:
instagram.com/dafuqboomtv
blugrayguy@gmail.com",MX
q3zqJs7JUCQ,,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),Taylor Swift,10,2024-04-20T00:00:06Z,"Taylor swift,taylor,swift,taylor swift ttpd,tortured poets department,new taylor swift,taylor swift album,ts ttpd,ttpd anthology,taylor swift fortnight,fortnite taylor swift,taylor swift",26013938,1218229,0,63749,https://i.ytimg.com/vi/q3zqJs7JUCQ/default.jpg,False,,"The official music video for “Fortnight (feat. Post Malone)” by Taylor Swift, from ‘THE TORTURED POETS DEPARTMENT’.

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

Join the #ForAFortnightChallenge on YouTube Shorts. Share 14 snippets of your life in one single Short with “Fortnight (feat Post Malone)” by using remix or adding the official sound.

https://yt.be/ForAFortnightChallenge

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store 
►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

Director: Taylor Swift
Director of Photography: Rodrigo Prieto 
Producer: Jil Hardin 
Editor: Chancler Haynes 
Production Designer: Ethan Tobman 
1st AD: Anthony Dimino 
Visual Effects: Parliament
Production Companies: Taylor Swift Productions & Object & Animal

#taylorswift #postmalone #fortnight #thetorturedpoetsdepartment",MX
Xjj7YeLZlCQ,,PERRITOS CONOCIENDO A MI BEBÉ | LOS POLINESIOS,LosPolinesios,22,2024-04-18T21:58:29Z,"Karen Polinesia,Rafa Polinesio,Lesslie Polinesia,Los Polinesios,Polinesios,Platica Polinesia",2490274,175455,0,6342,https://i.ytimg.com/vi/Xjj7YeLZlCQ/default.jpg,False,,"Hoy celebramos mi cumpleaños con una sorpresa muy especial: ¡la presentación de mi bebe Alquimia a los AKKs! Acompáñenme en este emocionante encuentro mientras los AKKs conocen a nuestra nueva integrante de la familia. 🎉🐶

Suscríbete aquí : https://www.youtube.com/@LosPolinesios?sub_confirmation=1

NUESTROS CANALES:
Música: http://www.youtube.com/platicapolinesa
Retos y bromas: http://www.youtube.com/ppextras
Tutoriales: http://www.youtube.com/ppmussas
Videojuegos: http://www.youtube.com/ppjuxiis

NUESTROS INSTAGRAMS:
http://www.instagram.com/PlaticaPolinesi
http://www.instagram.com/PPTeamKaren
http://www.instagram.com/PPTeamLesslie
http://www.instagram.com/PPTeamRafa

Facebook
http://www.facebook.com/PlaticaPolinesia
http://www.facebook.com/TeamRaffa
http://www.facebook.com/TeamKaren
http://www.facebook.com/TeamLesslie

Únete a Rafa, Karen, Lesslie y su familia mientras comparten entrañables momentos en viajes y celebraciones de la vida. Sumérgete en un diario personal lleno de amor, creatividad, libertad y unión. ¡Te damos la bienvenida a Los Polinesios, un espacio que captura la esencia íntima y cotidiana de los tres hermanos! 🌍👨‍👩‍👧‍👦✨

#lospolinesios #lessliepolinesia #alquimia #akks",MX
8qtiXjk5734,,Picus - Jordan Fly,PicusVEVO,10,2024-04-19T00:00:08Z,"Picus,Jordan,Fly,Universal,Music,Mexico,Latin,Urban,corrido,trends,shorts,viral,tendencias,virales,charts,popular,Luigi,Tony,Picu,Dominick,Paulin,FBI,Flow Tumbado,Super Ultra Mega,Mia Alison,Alison,Allison,Mia Allison,hit,español,spanish,corrido tumbado,tumbado,xavi",1792544,113724,0,11696,https://i.ytimg.com/vi/8qtiXjk5734/default.jpg,False,,"#Picus #JordanFly

🔷 Escucha “Jordan Fly"" en tu plataforma preferida:
https://universalmusicmexico.lnk.to/JordanFly

🔷Consigue boletos para ""Evolution Tour"".
https://www.ticketmaster.com.mx/picus-boletos/artist/2909974?gad_source=1&gclid=CjwKCAjwoPOwBhAeEiwAJuXRhy1ielo-qad5g4gLyfx6R5rwiPL6NStFXF1A9VGg9_L8buYIGhs2SxoCNvAQAvD_BwE

🔶 Conecta con Picus:
🟢IG: https://www.instagram.com/picus.oficial/
🔵TikTok: https://www.tiktok.com/@picus.oficial
🟡FB: https://www.facebook.com/PicusOficial...
🔴Twitter: https://twitter.com/PicusOficial
🟢IG Luigi: https://www.instagram.com/soy.luigi/?utm_m..
🟢IG Tony: https://instagram.com/yosoy.tony?utm_...
🟢IG Piculincito: https://instagram.com/piculincito?utm...

Lyrics/Letra:

En el cora siempre la familia
Son el amuleto contra las envidias
Un beso a mi barbie
Que siempre me cuida 
Sabe que la llevo a donde me pida
En HD las fotos que subí en el iPhone
Las stories siempre están explotando
Los lujos de Picus ya son alto rango
Y que soporten…

Como mis jordans ando Fly 
Por la ventana yo veo las nubes 
Aquí nada baja todo sube 
Desde morro este sueño tuve

Como mis jordans ando Fly
El nene llenando cada escenario
Está sold out el calendario 
Y los ceros van aumentando

Me subestimaste
Jordan Fly
Los Picus

La gafa Versace por el flash 
Siempre voy rápido me siento flash 
Saben que aquí nunca nos falta el cash 
Pero tampoco falta la humildad 
Nos tiraban piedras y aquí seguimos 
No somos malos somos selectivos 
Los de siempre siguen conmigo

Como mis jordans ando Fly 
Por la ventana yo veo las nubes 
Aquí nada baja todo sube 
Desde morro este sueño tuve

Como mis jordans ando Fly
El nene llenando cada escenario
Está sold out el calendario 
Y los ceros van aumentando",MX
EkhtgrOQRdc,,MINI MINI SIGUE VIVO,Fede Vigevani,24,2024-04-19T01:28:45Z,"fede vigevani,fede,fede y sus vecinos,payasos de la deep web,alfa soldados,video de terror,video de miedo,club misterio,alfa,mini mini,compre a mini mini en la deep web,fede payasos,mini mini quemado,alfa y mini mini,ayudenme,mini mini sigue vivo",10885667,591415,0,81556,https://i.ytimg.com/vi/EkhtgrOQRdc/default.jpg,False,,"esto está empeorando cada vez mas

Instagrams:
https://instagram.com/fedevigevani
https://instagram.com/boomscar
https://instagram.com/arenovitzz
https://instagram.com/ivanve__
https://instagram.com/oscardelrey_
https://instagram.com/ianlucas

CONTACTO: contactovigevani@gmail.com 

Twitter: https://twitter.com/fedevigevani

Prime: https://instagram.com/drinkprime

Edición del video: https://www.instagram.com/chuyitogs1

Gracias por apoyarme :)
Fede",MX
-P4Vet_iAWQ,,"DJ Snake, Peso Pluma - Teka (Official Music Video)",DJSnakeVEVO,10,2024-04-19T04:00:06Z,"dj snake,peso pluma,teka,peso,coachella artists,latin dance music,dance music,mexican music,regional mexican,EDM,house music",1244997,45889,0,3034,https://i.ytimg.com/vi/-P4Vet_iAWQ/default.jpg,False,,"DJ Snake & Peso Pluma – Teka (Official Music Video)

Listen to “Teka” here: http://DjSnake.lnk.to/Teka
 
Join DJ Snake’s Discord server:  https://discord.com/invite/zAYU2Tu3jx

Follow DJ Snake
Instagram: https://DJSnake.lnk.to/Instagram
TikTok: https://DJSnake.lnk.to/TikTok
Twitter: https://DJSnake.lnk.to/Twitter
Website: https://djsnake.com

Director: Benjamin Mege
Creative Director: Keith Schofield
Production Company: Caviar Paris and Caviar TV
DOP: Hugo Carlier
EP: Florent Haese, Florence Jacob, and Salim El Arja
Line Producer: Charlène Richardeau
Production Coordinator: Laureen Bolton and Tom Bergez
Intern: Aicha Dugenie
 
Interscope Creative: Shannon (Leskowitz) Groff and Alyssa Kamalski
 
DJ Snake Team:
Stylist: Axelle Teixeira
Barber: José Cruz
Groomer: Suzie Kim
BTS: Julian Bajsel and Justin James
 
Peso Pluma Team:
Stylist: Anastasia Walker
Groomer: David Thomas
 
Post House: 42 (rue de Siam) x Katlas VFX
 
Creative Digital Director, 3D Lead Artist: BRÜME, Wiktor PIPER
 
Editor: Vincent Fleischmann
Color Artist: Nicolas Gautier and Ghislain Rio
Color Artist Assistant: Daniel Santini
 
VFX Supervisor: Clément Milot
VFX Artist: Rémi Verdel
 
Digital Fashion Designer: Guillaume Sauzey
 
Post-Production Assistant: Hugo Thibert and Lisa Dusfour
Post-Coordinator: Michelle Saldana
Post-Producer: Thomas S Floch
 
3D Character Design: 530° agency
 
Titles: Thomas Delaporte
 
Studio Motion Capture France: Mocaplab
 
CEO: Rémi Brun
CEO Deputy: Robin Gaune
Production Manager: Alexandre Gomis
Technical Director: Frank Vayssettes
Motion Capture Operator: Oriana Kacimi, Luca Jami, Mathilde Renet, Thomas Grinsztajn, and Sylvain Oliveira
 
Studio Motion Capture Mexique: Studio
Lead MoCap’ Operator: Jonny Mehraban and Lionelle Mehraban
 
Sound House: Studio Astral Sound
 
Sound Producer: Benjamin Benamou
Sound Artist: Walter Laguerre
Choreographer: Mes Lesne
Dancer: Matteo Masson and Guillaume Rohrbacher
 
Service Production Company: Freenjoy
EP / Producer: Nathan Scherrer and Tara Sheree
Production Manager: Tommy Gleason
Production Coordinator: Wilder Heuga
 
Production Designer: X Martinez
Cast Stylist: Karla Miranda
Cast HMU: Nikki Parisi
 
Cast:
Policewoman: Toni Robinson May
Rave Hero: Lexi Reed and Kevin Jimenez
Posh Mature Woman: SJ Mendelson
 
1st AD: Jesse Fleece
2nd AD: Reed Baum
 
1st AC: Pergrin Jung
2nd AC: Carrie Lazar
DIT: Michael Bosman
VTR: Ignacio Martinez
Remote Head Tech: Jule Fontana
Sound Mixer: Joshua Haycraft
 
Gaffer: Mike Van Meter
Best Boy Electric: Mitch Pratt
Electric: Shaun Pratt and Dylan Pratt
Electric Driver: Jeff Fitzgerald
Dimmer Board Operator: Kiley Etter
 
Key Grip: David Riggio
Best Boy Grip: Reece Glover
Grip: Ted Kennedy and Mike Muller
Grip Driver: Jeff Wessels
 
Set Dresser: Emily Montgomery
Car Technician: Horacio Zammarripa
Medic: Johnny Dennis
Moho Driver: Brittanie MacCallum and David Rovsek
Craft Service: Sheila Castillo
Casting Director: Copelan Cash
Catering: Del Mar Catering
 
PA AD: Michael Mell
Talent PA: Sara Fredricks
Truck PA: Evan Rowe and Andrew Preimseberger
Set PA: James Roderique, Brandon Hopkins, Meredith Quinn, and Chris Brody

Lyrics:

Ya llego el fin de semana,
Prendas de marca italiana,
Voy a pistiar con la plebada
y nunca me llega sana,
A veces alcohol, a veces blanca,
pero siempre marijuana,
De Maruecos es el hashish
Y ella es suramericana

Va a romper la discoteca, teca -teca-teca-teca…
Va a romper la discoteca teca-teca-teca-teca
Va venir toda la poli pa
Sacarnos estamos rollin
Fumeteo gin and tonic

va a romper la discoteca
teca-teca-teca-teca
Va a romper la discoteca
teca-teca-teca-teca
Va a romper la disco,
la-la la -la
Va a romper la disco,
la-la-la-la
Va a romper la disco,
la-la

Entra la puerta y se roba el show,
me vuelve loco bailando el dembow,
No es de la calle but baby you know
Siempre estoy high y ella está low,
vamo’ pa encima cambiándote el clima,
tu booty está aquí, tus ojos en China,
yo se que tú no tienes disciplina,
Si vamos a hacer algo traje vitamina,
Mmmmmmmm como me mira,
Súper picante como de Argentina,
cara de modelo cuerpo de asesina divina,
tiene diez cargos encima,
Va a romper la discoteca
teca -teca -teca -teca
Va a romper la discoteca
teca -teca -teca -teca,

Va venir toda la poli pa
Sacarnos estamos rollin
Fumeteo gin and tonic

va a romper la discoteca
teca-teca-teca-teca
Va a romper la discoteca
teca-teca-teca-teca,

Va a romper la disco,
la-la- la -la
Va a romper la disco,
la-la-la-la disco,
Va a romper la disco

Va a romper la discoteca …
Va a romper la discoteca…

#djsnake #pesopluma #teka

Music video by DJ Snake, Peso Pluma performing Teka. © 2024 DJ Snake Music Productions Limited, under exclusive license to Interscope Records, a division of UMG Recordings, Inc.

http://vevo.ly/Ts0x8Q",MX
X1H5sOc_14U,,SEVDALIZA - RIDE OR DIE PT. 2 FT. TOKISCHA & VILLANO ANTILLANO (LYRIC VIDEO),Sevdaliza,10,2024-04-18T13:43:34Z,,1835296,100820,0,1784,https://i.ytimg.com/vi/X1H5sOc_14U/default.jpg,False,,"Stream Ride Or Die Pt. 2: https://lnkfi.re/RideOrDie-pt2
""Ride Or Die"" Merch: http://sevdaliza.com/​shop

Written by: Sevdaliza & @tokischa @villanoantillano   
Produced by: Sevdaliza & Mathias Janmaat 
Additional Production: 
FS Green https://www.instagram.com/fsgreen/ & Dave Nunes https://www.instagram.com/davenunes_

Footage: Pablo Naert https://www.instagram.com/koldaq/
Edit: Sammie Klinker https://www.instagram.com/visualsbysammie

https://instagram.com/sevdaliza_
https://www.tiktok.com/@sevdaliza?

https://instagram.com/tokischa.popola
https://www.tiktok.com/@tokischa.popola1?

https://instagram.com/villanoantillano
https://www.tiktok.com/@villanoantillano?

LYRICS: 

There’s beauty in the way that you are
When I’m all alone I can call on you
Guess I’m haunted too 

You illuminate as a star
Shine a little light on my solitude  
Guess your haunted too

Come past the dark, take my hand
Cover for my enemies
My ride or die, till the end
No negative energy
Hit my head against the wall
Bounce back stronger than life
Ride or die, till the end

Solo solo en mi cuarto en un rincón
Apurando rando un vaso y una ilusión
Cuántas horas me paso sin nada más
Que recordando su forma de amar
Somos amigos desde niñez
Po eso te pido, ayúdame
esta mundo me quiero sentir
Esta noche contigo a salir
Somos amigos desde niñez
Po eso te pido, ayúdame
esta mundo me quiero sentir
Esta noche contigo a salir

Come after dark, take my hand
My ride or die, till the end
Hit my head against the wall
My ride or die, till the end

Come past the dark, take my hand
Cover for my enemies
My ride or die, till the end
No negative energy
Hit my head against the wall
Bounce back stronger than life
Ride or die, till the end

Blessings, the fire, inside you, I see you
You cannot hide from me, baby, I be you
We got hooked, that was just a preview
We had a taste and now I can't leave you
Yo no sé mucho, pero te siento
Ahí en el fondo, en mis adentros
Algo me dice que yo estoy en lo correcto
Que mi estrógeno requiere de tu testo
Yo vengo puesta pa' echarnos el resto
Aunque sea tóxico como el abeto
A tu canal me sintonizo, me conecto
Esto es amor, puedo ver, lo detecto
Aquí nadie dijo que iba a ser perfecto
Pero te gustan hasta nuestro' defecto'
Te embrujé y sé que tengo ese efecto
A mis amantes, de mí los infecto


@2023 Twisted Elegance, Villano Antillano appearing as a courtesy of La Buena Fortuna Music, LLC",MX
m8BTmgep_1o,,Rating Messi vs Ronaldo Products!,Futcrunch,17,2024-04-19T14:30:26Z,"leo messi,cr7,cristiano ronaldo,cristiano vs messi,messi,messi vs ronaldo,messi products,ronaldo products,football products,football products review",1505015,27729,0,1149,https://i.ytimg.com/vi/m8BTmgep_1o/default.jpg,False,,"pls like this video

Twitter https://twitter.com/futcrunch
Instagram https://www.instagram.com/futcrunch/?...
TikTok https://www.tiktok.com/@futcrunch

Second Channel (pls sub) https://www.youtube.com/channel/UCrsuEI3mvU5pN2PEbwW9F9w",MX
