video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,video_error_or_removed,description,location
17WwwKwMysg,,Венгалби Сжег Ешку и 25 миллионов от Меллстроя! Тамаев Подарил Машину,Асхаб Тамаев,22,2024-04-21T11:09:20Z,"асхаб тамаев,асхаб тамаев челендж,асхаб тамаев гонки,асхаб тамаев угон,уничтожил авто,мма,тамаев,тамаев влог,авто,тамаев наехал,асхаб,асхаб тамаев гонка,тамаев wengallbi,mercedes,венгабли тамаев,венгалби,wengallbi,e63 amg,тамаев венгалби конфликт,тамаев венгалби,мерседес,amg e63,ахмед венгалби,асхаб тамаев влог,влоги,cls,amg,e63,cls63,тамаев угон,сжигаеи ешку,сжег ешку,меллстрой,мелстрой,mellstroy,горит ешка,тамаев мелстрой,венгалби мелстрой",2764950,162411,0,31114,https://i.ytimg.com/vi/17WwwKwMysg/default.jpg,False,,"Асхаб - https://www.instagram.com/tamaaev
Венгалби - https://www.instagram.com/wengallbi_tm

Полный выпуск с покупкой Ешки на канале Бабека: https://youtu.be/fGjI90U-5FA

Друзья, всем привет! С вами Асхаб Тамаев. В этом ролике я решил Венгалби от себя сделать очень крутой подарок. Думаю, он точно такого не ожидает. Это тот самый Mercedes e63 в идеальном состоянии. А также 15 миллионов рублей от Меллстроя! Ахмед может делать со всем этим все что угодно. В этот раз так. Никаких правил. Может клеить рекламу Литвина, может продать или просто оставить себе. Ну или сжечь, решать ему... Посмотрим как поступит Венгалби. Откажется от Ешки и 15 миллионов или оставит все себе... Приятного просмотра!",RU
1Moef230_Zs,,Gazan поет на сцене Меломан,Gazan,10,2024-04-21T09:00:02Z,,729222,55535,0,348,https://i.ytimg.com/vi/1Moef230_Zs/default.jpg,False,,,RU
6m4u3-kHs5g,,Что если бы Apple делала зубные щётки?,Wylsacom,28,2024-04-21T09:28:57Z,,388231,23250,0,83,https://i.ytimg.com/vi/6m4u3-kHs5g/default.jpg,False,,,RU
l-nMKJ5J3Uc,,"Ages 1 - 100 Decide Who Wins $250,000",MrBeast,24,2024-04-20T15:59:59Z,,52364793,2840347,0,135339,https://i.ytimg.com/vi/l-nMKJ5J3Uc/default.jpg,False,,"I can’t believe who they picked
Thanks Top Troops for sponsoring this video. Download Top Troops at https://toptroops.onelink.me/JHnC/mrbeast or scan the QR code to get a FREE special Starter Pack for a limited time

Thanks Samsung for the Tab S9s - the Galaxy AI features are cool too: https://smsng.us/MrBTabS9

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Also thank you Concept Pixel for the LED Walls,it looked great!
 www.conceptpixels.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",RU
4Uy96lOQ7FQ,,"СКУФ-АЛЬТУШКА БОСС снял под хит сына КИПЕЛОВА, как вам внешность? 😱🔥",NEVERLOVE,22,2024-04-21T12:19:24Z,,214703,11482,0,515,https://i.ytimg.com/vi/4Uy96lOQ7FQ/default.jpg,False,,,RU
RmIMR8Tb8xo,,태국판매 김스낵 1위가 알고보니 한국김? 롤김스낵 태국 대량생산공장 #Shorts,푸드킹덤 Food Kingdom,19,2024-04-18T10:00:21Z,"Shorts,김스틱,과자 공장,식품공장,rolling seaweed,seaweed stick,snack factory,seaweed snack factory",1378118,14910,0,321,https://i.ytimg.com/vi/RmIMR8Tb8xo/default.jpg,False,,"👦 태국판매 김스낵 1위가 알고보니 한국김? 롤김스낵 태국 대량생산공장 / 코끼리 롤 김스낵 #Shorts #snack factory #seaweed stick

🚀 Location : 태국
⚡ Full video : https://youtu.be/-BYsdJQiwBM

(문의메일)  jazz3651@naver.com",RU
pFChOQKzvAM,,🤯 Решил проверить жену 20 лет спустя и сделал ДНК-тест! Результат удивил всех! | Новостничок,НОВОСТНИЧОК,25,2024-04-21T09:15:02Z,"новости,новости сегодня,новости дня,главные новости сегодня,главные новости,свежие новости,свежие новости сегодняшнего дня,события дня,короче новости,странные новости,новости мира,мировые новости,новостничок,новостник",1184605,51463,0,975,https://i.ytimg.com/vi/pFChOQKzvAM/default.jpg,False,,"Новостничок - канал с короткими новостями, где публикуются самые интересные события со всего мира ежедневно! Видео короткие и без воды!

#новости #главныеновости #новостничок #shorts",RU
dLfHFKpX0Cw,,ВИРУСНЫЕ ВИДЕО / Мусорка 😂,Светлый Voiceover,22,2024-04-21T07:00:30Z,,940391,83578,0,118,https://i.ytimg.com/vi/dLfHFKpX0Cw/default.jpg,False,,,RU
y_WGL8rVrz0,,skibidi toilet 73 (part 1),DaFuq!?Boom!,24,2024-04-20T21:20:07Z,"sfm animation,skibidi toilet vs cameramen,skibidi toilet,scientist skibidi,tv woman,titan cameraman,titan speakerman,skibidi toilet all episodes,titan tv man,g-toilet,gman toilet",14457786,821466,0,70400,https://i.ytimg.com/vi/y_WGL8rVrz0/default.jpg,False,,"cameramen infiltrate last remaining part of skibidi lab

full-screen version

Respectful assets used in the video:
suits - https://steamcommunity.com/sharedfiles/filedetails/?id=2849230339
speakers models by ivip -https://steamcommunity.com/sharedfiles/filedetails/?id=2680336465
https://steamcommunity.com/sharedfiles/filedetails/?id=2684729253
map - https://steamcommunity.com/sharedfiles/filedetails/?id=1958007290
additional particles by @HoovyTube 

Contact me:
instagram.com/dafuqboomtv
blugrayguy@gmail.com",RU
VzUQYm_XqeY,,ЗАДЕРЖАЛИ КАССИРА И ЗАКРЫЛИ МАГАЗИН / РАЗЪЯСНИЛ ПОЛИЦИИ ПО ЗАКОНУ / ЗАБРАЛИ В ОТДЕЛ ПОЛИЦИИ КАССИРА,ARTEM WOLF,24,2024-04-21T08:00:12Z,"просрочка,полиция,менты,мусора,гаи,дпс,гибдд,охрана,закрыли магазин,очистили магазин,наказали магазин,полиция помогла,полицейский не представился,оборотень в погонах,следователь,артем вульф,вольф,вульф,артем вольф,wolf,artem wolf,пятерочка,дикси,магнит,спар,полиция задержала,задержание,задержали сотрудника,нарушение,бездействие,борзый мент,разъяснил ментам по закону,юрист,суд,вызвали полицию,научил ментов служить,заставил служить,заставил ментов служить,закон",511382,31984,0,3579,https://i.ytimg.com/vi/VzUQYm_XqeY/default.jpg,False,,"Ранний доступ к видео, эксклюзивные видео, которых не будет на ютубе, правовая база со всеми статьями и законами, закрытый чат с подписчиками и многое другое вы можете получить на:
Boosty (для карт РФ): https://boosty.to/wolff
Patreon (для зарубежных карт): https://www.patreon.com/awolff

ТГ канал про криптовалюту: https://t.me/awolfcrypto

Игра World of Warcraft, проект Sirus: https://sirus.cc/artemwolf (игра бесплатная!)
Стримы по легендарной игре WoW каждое воскресенье в 18:00 по МСК на этом канале! Играем на сервере х2 за Альянс!
Условия нового розыгрыша на 50 000руб будут тут: https://t.me/artem_wolff

Телеграмм канал: https://t.me/artem_wolff
ТГ канал про криптовалюту: https://t.me/awolfcrypto
Телеграм канал Насти (оператора): https://t.me/anastasia_krasina3
Инстаграм*: https://instagram.com/artem_wolff

Магазин Наш Маркет (ИП Сулейманов Эльбрус Дилавар оглы). Дата съемки: 14.04.24
Адрес магазина: г. Москва, ул. Москва, ул. Сеславинская, д. 16, к. 1

Рад сотрудничеству, коллаборациям, участию в проектах на ютубе. Предложения присылать на почту: artemwolff@icloud.com
По рекламе сюда: https://t.me/worldman_pr

Разовое денежное пожертвование (для всех стран): https://www.donationalerts.com/r/artem_wolff

Канал о любви и взаимоотношениях между потребителем и продавцом.
Научу защищать права потребителя, общаться с полицией и охраной.

Предупреждаем о том, что содержимое данного видео, а так же сообщений и комментариев, является субъективным мнением авторов. Данное видео не является призывом к действию, никоим образом не имеет цели кого-то оскорбить, запугать или унизить. К сведению подписчиков и зрителей - администрация канала (сайта, страницы) не может проверить достоверность всей размещаемой информации, что необходимо учитывать при ознакомлении и размещении своих комментариев.
Автор настоятельно не рекомендует повторять увиденное!
Все слова и кадры в видео носят информационный характер и не являются призывом к действию или финансовой рекомендацией. Любые игры на деньги - зло и верный путь оказаться в кредитах, без денег на улице! Всегда думайте своей головой!

Данное видео, как и слова автора, ни в коем случае не способствует разжиганию межнациональной розни и не имеет цели разжигать рознь, равно как и не имеет цели оскорбить или унизить кого-то по национальному или любому другому признаку!

*Тверской суд Москвы признал компанию Meta, владеющую соцсетями Facebook и Instagram, экстремистской организацией и постановил запретить их деятельность на территории РФ.",RU
